System,Reef,Habitat,Site,Percentage bleaching,Pre-bleaching cover,Post-bleaching cover,Decrease Cover
Rowley Shoals,Mermaid,Crest,1,?10%,32.1,37.7,5.6
Rowley Shoals,Mermaid,Crest,2,?10%,,,
Rowley Shoals,Mermaid,Crest,3,?10%,,,
Rowley Shoals,Mermaid,Crest,4,?10%,,,
Rowley Shoals,Mermaid,Crest,5,?10%,,,
Rowley Shoals,Mermaid,Slope,1,?10%,37.5,31.9,-5.6
Rowley Shoals,Mermaid,Slope,2,?10%,,,
Rowley Shoals,Mermaid,Slope,3,?10%,,,
Rowley Shoals,Mermaid,Slope,4,?10%,,,
Rowley Shoals,Mermaid,Lagoon,1,11-30%,21.6,13.3,-8.3
Rowley Shoals,Mermaid,Lagoon,2,11-30%,16.8,22.4,5.6
Rowley Shoals,Mermaid,Lagoon,3,?10%,7,12.8,5.8
Rowley Shoals,Mermaid,Lagoon,4,11-30%,8.4,8.3,-0.1
Rowley Shoals,Clerke,Crest,1,?10%,47.3,53.1,5.8
Rowley Shoals,Clerke,Crest,2,?10%,,,
Rowley Shoals,Clerke,Slope,1,?10%,50.3,53.7,3.4
Rowley Shoals,Clerke,Slope,2,11-30%,,,
Rowley Shoals,Clerke,Lagoon,1,?10%,28.8,32.5,3.7
Rowley Shoals,Clerke,Lagoon,2,?10%,21.6,29.1,7.5
Rowley Shoals,Clerke,Lagoon,3,?10%,29.8,32.8,3
Rowley Shoals,Clerke,Lagoon,4,?10%,31.5,39.1,7.6
Rowley Shoals,Imperieuse,Crest,1,?10%,36.1,38.5,2.4
Rowley Shoals,Imperieuse,Crest,2,?10%,,,
Rowley Shoals,Imperieuse,Slope,1,?10%,48.5,47.8,-0.7
Rowley Shoals,Imperieuse,Slope,2,?10%,,,
Rowley Shoals,Imperieuse,Lagoon,1,?10%,,,
Rowley Shoals,Imperieuse,Lagoon,2,?10%,,,
Rowley Shoals,Imperieuse,Lagoon,3,11-30%,,,
Scott reefs,Seringapatam,Crest,1,60-90%,32,3.6,-28.4
Scott reefs,Seringapatam,Crest,2,60-90%,,,
Scott reefs,Seringapatam,Lagoon,1,>90%,19.8,18.9,-0.9
Scott reefs,Seringapatam,Lagoon,2,>90%,48.5,4.4,-44
Scott reefs,Seringapatam,Lagoon,3,30-60%,,,
Scott reefs,Seringapatam,Lagoon,4,30-60%,,,
Scott reefs,Seringapatam,Lagoon,5,30-60%,,,
Scott reefs,Seringapatam,Lagoon,6,30-60%,,,
Scott reefs,Seringapatam,Lagoon,7,60-90%,,,
Scott reefs,Seringapatam,Lagoon,8,60-90%,,,
Scott reefs,Seringapatam,Lagoon,9,60-90%,,,
Scott reefs,Seringapatam,Slope,1,60-90%,58.6,13.8,-44.8
Scott reefs,Seringapatam,Slope,2,60-90%,,,
Scott reefs,Seringapatam,Slope,3,60-90%,,,
Scott reefs,Seringapatam,Slope,4,60-90%,,,
Scott reefs,North,Crest,1,60-90%,56.8,7,-49.9
Scott reefs,North,Crest,2,60-90%,14,8.1,-5.9
Scott reefs,North,Crest,3,>90%,,,
Scott reefs,North,Slope,1,60-90%,52.6,16.5,-36
Scott reefs,North,Slope,2,60-90%,28.8,15.7,-13.1
Scott reefs,North,Slope,3,>90%,,,
Scott reefs,North,Lagoon,1,60-90%,39.8,12.1,-27.6
Scott reefs,North,Lagoon,2,>90%,35,6.5,-28.5
Scott reefs,North,Lagoon,3,60-90%,,,
Scott reefs,North,Lagoon,4,60-90%,,,
Scott reefs,North,Lagoon,5,60-90%,,,
Scott reefs,North,Lagoon,6,60-90%,,,
Scott reefs,North,Lagoon,7,60-90%,,,
Scott reefs,North,Lagoon,8,60-90%,,,
Scott reefs,North,Lagoon,9,60-90%,,,
Scott reefs,North,Lagoon,10,>90%,,,
Scott reefs,North,Lagoon,11,>90%,,,
Scott reefs,North,Lagoon,12,>90%,,,
Scott reefs,North,Lagoon,13,>90%,,,
Scott reefs,North,Lagoon,14,60-90%,,,
Scott reefs,South-Inner,Crest,1,>90%,52.4,2.9,-49.4
Scott reefs,South-Inner,Crest,2,>90%,57.9,2.8,-55.1
Scott reefs,South-Inner,Crest,3,>90%,,,
Scott reefs,South-Inner,Crest,4,>90%,,,
Scott reefs,South-Inner,Crest,5,>90%,,,
Scott reefs,South-Inner,Crest,6,>90%,,,
Scott reefs,South-Inner,Crest,7,>90%,,,
Scott reefs,South-Inner,Crest,8,>90%,,,
Scott reefs,South-Inner,Crest,9,60-90%,,,
Scott reefs,South-Inner,Crest,10,30-60%,,,
Scott reefs,South-Inner,Crest,11,30-60%,,,
Scott reefs,South-Inner,Crest,12,60-90%,,,
Scott reefs,South-Inner,Crest,13,60-90%,,,
Scott reefs,South-Inner,Slope,1,>90%,58.5,25.6,-32.9
Scott reefs,South-Inner,Slope,2,>90%,56.2,10.5,-45.7
Scott reefs,South-Inner,Slope,3,60-90%,29,11.4,-17.6
Scott reefs,South-Inner,Slope,4,>90%,,,
Scott reefs,South-Inner,Slope,5,>90%,,,
Scott reefs,South-Inner,Slope,6,>90%,,,
Scott reefs,South-Inner,Slope,7,>90%,,,
Scott reefs,South-Inner,Slope,8,>90%,,,
Scott reefs,South-Inner,Slope,9,>90%,,,
Scott reefs,South-Inner,Slope,10,>90%,,,
Scott reefs,South-Inner,Slope,11,30-60%,,,
Scott reefs,South-Inner,Slope,12,60-90%,,,
Scott reefs,South-Inner,Slope,13,60-90%,,,
Scott reefs,South-Inner,Slope,14,>90%,,,
Scott reefs,South-Inner,Slope,15,60-90%,,,
Scott reefs,South-Inner,Slope,16,60-90%,,,
Scott reefs,South-Inner,Slope,17,60-90%,,,
Scott reefs,South-Inner,Slope,18,30-60%,,,
Scott reefs,South-Outer,Crest,1,>90%,35.6,18.7,-16.9
Scott reefs,South-Outer,Crest,2,>90%,47.5,8.8,-38.6
Scott reefs,South-Outer,Crest,3,>90%,,,
Scott reefs,South-Outer,Crest,4,>90%,,,
Scott reefs,South-Outer,Crest,5,>90%,,,
Scott reefs,South-Outer,Slope,1,>90%,49.9,12.4,-37.5
Scott reefs,South-Outer,Slope,2,>90%,,,
Scott reefs,South-Outer,Slope,3,>90%,,,
Scott reefs,South-Outer,Slope,4,>90%,,,
Scott reefs,South-Outer,Slope,5,>90%,,,
Scott reefs,South-Outer,Slope,6,30-60%,.,.,.